Name,Brand,Latitude,Longitude
Shell,Shell,43.6195162,-79.6691242
Good Guys Gas Bar,Unknown,43.6491829,-79.7099004
Shell,Shell,43.6617012,-79.7282833
Esso,Esso,43.6634873,-79.7302787
Husky,Husky,43.6652926,-79.7331634
Esso,Esso,43.6757384,-79.7219267
Esso,Esso,43.7237577,-79.668307
Esso,Esso,43.6237498,-79.5154818
Esso,Esso,43.5922504,-79.6683739
Shell,Shell,43.5922383,-79.6700229
Petro-Canada,Petro-Canada,43.6269547,-79.6310994
Canadian Tire,Canadian Tire,43.636591,-79.6207822
Esso,Esso,43.6356466,-79.621488
Petro-Canada,Petro-Canada,43.6103216,-79.549482
Esso,Esso,43.6322414,-79.5452861
Petro-Canada,Petro-Canada,43.7194424,-79.6028133
Petro-Canada,Petro-Canada,43.7209886,-79.6412152
Petro-Canada,Petro-Canada,43.6964681,-79.6319966
Shell,Shell,43.6862719,-79.6076472
Husky,Husky,43.694672,-79.5582229
Shell,Shell,43.7196714,-79.429539
Esso,Esso,43.7190688,-79.4293094
Esso,Esso,43.7483752,-79.2077148
Petro-Canada,Petro-Canada,43.3297082,-79.8201209
Pioneer,Pioneer,43.3463264,-79.7979379
Canadian Tire,Canadian Tire,43.3525733,-79.7876359
Esso,Esso,43.3594443,-79.7792659
Petro-Canada,Petro-Canada,43.373574,-79.7613796
Petro-Pass,Unknown,43.5036158,-79.6192965
Petro-Canada,Petro-Canada,43.6506517,-79.9045785
Sunys,Unknown,43.7446145,-79.3256091
3 Valleys,Unknown,43.7517952,-79.3363226
Petro-Canada,Petro-Canada,43.7583639,-79.3147462
Petro-Canada,Petro-Canada,43.769582,-79.26176
Shell,Shell,43.8305774,-79.2755586
Petro-Canada,Petro-Canada,43.8078267,-79.1713655
Esso,Esso,43.6068436,-79.5208377
Global,Global,43.6261406,-79.5284445
Esso,Esso,43.6277901,-79.5286585
Esso,Esso,43.8349306,-79.2570853
Pioneer,Pioneer,43.7916805,-79.2480234
Petro-Canada,Petro-Canada,43.785569,-79.1942562
Amco Petroleum,Unknown,43.7872594,-79.1508665
Tru Value,Unknown,43.7827029,-79.1721979
Shell,Shell,43.8855367,-79.2897312
Canadian Tire Gas Bar,Canadian Tire,43.8724827,-79.2853283
Petro-Canada,Petro-Canada,43.7632898,-79.318065
Shell,Shell,43.792883,-79.3306378
Petro-Canada,Petro-Canada,43.7936775,-79.330995
Petro-Canada,Petro-Canada,43.810339,-79.3386442
Esso,Esso,43.8042404,-79.337027
Petro-Pass,Petro,43.8429142,-79.3570526
Eagle Transmission,Unknown,43.6963733,-79.2748648
Canadian Tire,Canadian Tire,44.2588541,-76.5709741
Shell,Shell,43.4503993,-79.7599487
Petro-Canada,Petro-Canada,44.7983852,-76.6805791
Neon Gas Service,Unknown,43.6632234,-79.3311454
Petro-Canada,Petro-Canada,44.2405889,-76.5139538
Esso,Esso,44.327301,-78.3401215
Husky,Husky,44.3189572,-78.3311334
Canadian Tire,Canadian Tire,44.3248721,-78.336434
Pioneer,Pioneer,44.2378439,-76.5507391
Petro-Canada,Petro-Canada,43.8444353,-79.408472
Shell,Shell,43.8032466,-79.1923442
Esso,Esso,43.8015844,-79.1990185
Petro-Canada,Petro-Canada,43.7073015,-79.4527301
Gulf,Gulf,43.7354571,-79.4421919
Stinson,Stinson,44.2721835,-76.5439117
Esso,Esso,43.6985731,-79.4063342
Husky,Husky,43.6983197,-79.4055655
Unknown,Unknown,43.4264044,-79.7271253
