long,lat,Name
-79.2996207,43.72349097,Eglinton Square
-79.6436889,43.59264103,Square One
-78.87921664,43.89002467,Oshawa Centre
-79.36517741,43.87233736,王府井
-89.24778591,48.38406095,Victoriaville Centre Mall
-79.25809148,43.77613139,Scarborough Town Centre
-81.18425384,46.57065185,Place Bonaventure
-81.19984087,42.77887546,Grand Central Place
-77.14691155,45.83132734,West End Mall
-84.27419453,46.52050461,
-76.48361947,44.23223337,LaSalle Mews
-79.52326258,43.61980164,Kipling-Queensway Mall
-76.54735496,44.2396446,Frontenac Mall
-79.387433,43.64627203,MetroCentre
-79.4343077,43.63775303,
-75.7021086,45.42045823,240 Sparks
-82.1609695,45.82437003,Seasons
-79.8775524,43.25702993,Main Hess Mall
-79.0730493,43.08902173,Grand View Marketplace
-79.8863452,44.75128843,Georgian View Shopps
-79.6134673,43.57983463,King Shepard Square Plaza
-79.3957495,43.64296463,Wellington Market
-79.7651285,43.58286523,Aquitaine Plaza
